"city";"Preverified_1";"Verified_2";"Connected_3";"Visited_4";"Agreement_5";"Onboarded_6"
"Ahmedabad";100.0;75.0;80.0;92.0;27.0;33.0
"Bangalore";100.0;78.0;86.0;87.0;72.0;44.0
"Chandigarh";100.0;78.0;86.0;83.0;20.0;0.0
"Delhi";100.0;80.0;80.0;89.0;70.0;38.0
"Gurugram";100.0;84.0;76.0;82.0;68.0;33.0
"Hyderabad";100.0;84.0;81.0;96.0;72.0;50.0
"Kolkata";100.0;89.0;71.0;100.0;59.0;40.0
"Mumbai";100.0;78.0;82.0;84.0;74.0;45.0
"Noida";100.0;79.0;83.0;89.0;65.0;9.0
"Pune";100.0;80.0;75.0;89.0;47.0;33.0
